Absenteeism_time_in_hours,Reason_for_absence,Month_of_absence,Day_of_the_week,Seasons,Transportation_expense,Distance_from_Residence_to_Work,Service_time,Age,Work_load_Average/day,Hit_target,Disciplinary_failure,Education,Son,Social_drinker,Social_smoker,Pet,Weight,Height,Body_mass_index
1,0.0,0.5454545454545454,0.25,0.0,0.0,0.17021276595744683,0.6071428571428571,0.7419354838709676,0.19447062156365091,0.8421052631578947,1.0,0.0,0.25,1.0,0.0,0.0,0.8093135095657877,0.45454545454545503,0.631578947368421
0,0.9285714285714285,0.5454545454545454,0.25,0.0,0.6333333333333333,0.6595744680851063,0.42857142857142855,0.19354838709677413,0.19447062156365091,0.8421052631578947,0.0,0.0,0.5,1.0,0.0,0.125,0.6567643172184181,0.2727272727272725,0.5789473684210527
1,0.0,0.5454545454545454,0.25,0.0,0.0,0.17021276595744683,0.6071428571428571,0.7419354838709676,0.19447062156365091,0.8421052631578947,1.0,0.0,0.25,1.0,0.0,0.0,0.8093135095657877,0.45454545454545503,0.631578947368421
1,0.0,0.5454545454545454,0.25,0.0,0.0,0.17021276595744683,0.6071428571428571,0.7419354838709676,0.19447062156365091,0.8421052631578947,1.0,0.0,0.25,1.0,0.0,0.0,0.8093135095657877,0.45454545454545503,0.631578947368421
1,0.0,0.5454545454545454,0.25,0.0,0.0,0.17021276595744683,0.6071428571428571,0.7419354838709676,0.19447062156365091,0.8421052631578947,1.0,0.0,0.25,1.0,0.0,0.0,0.8093135095657877,0.45454545454545503,0.631578947368421
1,0.0,0.5454545454545454,0.25,0.0,0.0,0.17021276595744683,0.6071428571428571,0.7419354838709676,0.19447062156365091,0.8421052631578947,1.0,0.0,0.25,1.0,0.0,0.0,0.8093135095657877,0.45454545454545503,0.631578947368421
2,0.8214285714285714,0.5454545454545454,0.5,0.0,0.22592592592592592,0.978723404255319,0.6071428571428571,0.3548387096774194,0.19447062156365091,0.8421052631578947,0.0,0.0,0.0,1.0,0.0,0.0,0.6376956681749968,0.21212121212121193,0.631578947368421
1,0.0,0.5454545454545454,0.25,0.0,0.0,0.17021276595744683,0.6071428571428571,0.7419354838709676,0.19447062156365091,0.8421052631578947,1.0,0.0,0.25,1.0,0.0,0.0,0.8093135095657877,0.45454545454545503,0.631578947368421
2,0.8214285714285714,0.5454545454545454,0.5,0.0,0.22592592592592592,0.978723404255319,0.6071428571428571,0.3548387096774194,0.19447062156365091,0.8421052631578947,0.0,0.0,0.0,1.0,0.0,0.0,0.6376956681749968,0.21212121212121193,0.631578947368421
2,0.8214285714285714,0.5454545454545454,0.5,0.0,0.22592592592592592,0.978723404255319,0.6071428571428571,0.3548387096774194,0.19447062156365091,0.8421052631578947,0.0,0.0,0.0,1.0,0.0,0.0,0.6376956681749968,0.21212121212121193,0.631578947368421
2,0.8214285714285714,0.5454545454545454,0.5,0.0,0.22592592592592592,0.978723404255319,0.6071428571428571,0.3548387096774194,0.19447062156365091,0.8421052631578947,0.0,0.0,0.0,1.0,0.0,0.0,0.6376956681749968,0.21212121212121193,0.631578947368421
